% ----------------------------------------------------------------------------
% This file contains profiled data created with the SUMO Toolbox profiler v2015a
% 
%   * Name: MemoryUse_out
%   * Description: JVM Memory Usage
%   * Date: 29/02/2016 at 04:19
% 
%   * Column1: 	sampleSize: 	Number of samples
%   * Column2: 	usage: 	JVM memory usage (MB)
%   * Column3: 	available: 	Available JVM memory (MB)
%
% ----------------------------------------------------------------------------

7.400000000E1	3.170000000E2	3.500000000E1	
7.400000000E1	3.200000000E2	3.200000000E1	
7.400000000E1	3.270000000E2	2.500000000E1	
7.400000000E1	3.360000000E2	1.600000000E1	
7.400000000E1	3.230000000E2	2.900000000E1	
7.400000000E1	3.200000000E2	3.200000000E1	
7.400000000E1	3.410000000E2	1.100000000E1	
1.480000000E2	3.090000000E2	4.300000000E1	
2.480000000E2	3.140000000E2	3.800000000E1	
3.470000000E2	3.180000000E2	3.400000000E1	
4.470000000E2	3.250000000E2	2.700000000E1	
5.470000000E2	3.180000000E2	3.400000000E1	
6.470000000E2	2.600000000E2	9.200000000E1	
7.460000000E2	2.670000000E2	8.500000000E1	
8.450000000E2	2.770000000E2	7.500000000E1	
9.440000000E2	2.840000000E2	6.800000000E1	
9.440000000E2	2.650000000E2	8.700000000E1	
1.043000000E3	2.810000000E2	7.100000000E1	
